Well;Sample ID;Range;ng/uL;% Total;nmole/L;Avg. Size;%CV;Size Threshold (b.p.);DQN
H5;407;177 bp to 202 bp;0.8454;24.7;7.3986;188;3.78;300;0.8
H5;407;202 bp to 227 bp;0.4224;12.4;3.257;213;3.41;300;0.8
H5;407;227 bp to 277 bp;0.3776;11;2.5061;248;5.76;300;0.8
H5;407;277 bp to 327 bp;0.1443;4.2;0.7959;298;4.89;300;0.8
H5;407;327 bp to 427 bp;0.1188;3.5;0.5286;370;7.71;300;0.8
H6;416;25 bp to 157 bp;0.8772;12.4;17.1015;84;48.85;300;6.3
H6;416;157 bp to 500 bp;3.9168;55.4;19.7373;326;28.05;300;6.3
H6;416;157 bp to 177 bp;0.112;1.6;1.0974;168;3.56;300;6.3
H6;416;177 bp to 202 bp;0.2141;3;1.8485;190;3.73;300;6.3
H6;416;202 bp to 227 bp;0.3092;4.4;2.3608;215;3.39;300;6.3
H6;416;227 bp to 277 bp;0.7654;10.8;4.9864;252;5.74;300;6.3
H6;416;277 bp to 327 bp;0.6941;9.8;3.7927;301;4.92;300;6.3
H6;416;327 bp to 427 bp;1.1377;16.1;4.9771;376;7.7;300;6.3
H7;411;25 bp to 157 bp;0.9731;71.3;14.4385;111;35.06;300;0.8
H7;411;157 bp to 500 bp;0.3456;25.3;2.3227;245;35.38;300;0.8
H7;411;157 bp to 177 bp;0.0864;6.3;0.8505;167;3.57;300;0.8
H7;411;177 bp to 202 bp;0.071;5.2;0.6204;188;3.8;300;0.8
H7;411;202 bp to 227 bp;0.0413;3;0.3178;214;3.44;300;0.8
H7;411;227 bp to 277 bp;0.0582;4.3;0.3814;251;5.79;300;0.8
H7;411;277 bp to 327 bp;0.0312;2.3;0.1712;300;4.96;300;0.8
H7;411;327 bp to 427 bp;0.0415;3;0.1831;373;7.65;300;0.8
A5;400;25 bp to 157 bp;0.5654;21.7;11.6579;80;53.79;300;1.1
A5;400;157 bp to 500 bp;2.0149;77.2;14.3625;231;27.58;300;1.1
A5;400;157 bp to 177 bp;0.3114;11.9;3.0155;170;3.12;300;1.1
A5;400;177 bp to 202 bp;0.5496;21.1;4.7839;189;3.77;300;1.1
A5;400;202 bp to 227 bp;0.3869;14.8;2.9746;214;3.43;300;1.1
A5;400;227 bp to 277 bp;0.4338;16.6;2.8698;249;5.76;300;1.1
A5;400;277 bp to 327 bp;0.1847;7.1;1.0176;299;4.91;300;1.1
A5;400;327 bp to 427 bp;0.1423;5.5;0.636;368;7.68;300;1.1
A6;409;25 bp to 157 bp;0.4279;14.8;10.7364;65;56.88;300;4.3
A6;409;157 bp to 500 bp;1.7372;60.2;10.599;270;34.51;300;4.3
A6;409;157 bp to 177 bp;0.174;6;1.6822;170;3.12;300;4.3
A6;409;177 bp to 202 bp;0.3667;12.7;3.1869;189;3.74;300;4.3
A6;409;202 bp to 227 bp;0.27;9.4;2.0766;214;3.43;300;4.3
A6;409;227 bp to 277 bp;0.315;10.9;2.075;250;5.83;300;4.3
A6;409;277 bp to 327 bp;0.1941;6.7;1.0639;300;4.92;300;4.3
A6;409;327 bp to 427 bp;0.2708;9.4;1.1867;375;7.75;300;4.3
A7;417;25 bp to 157 bp;4.3812;44.2;56.5889;127;21.7;300;0.8
A7;417;157 bp to 500 bp;5.4783;55.3;38.6783;233;28.57;300;0.8
A7;417;157 bp to 177 bp;0.7372;7.4;7.2034;168;3.62;300;0.8
A7;417;177 bp to 202 bp;1.5745;15.9;13.6691;189;3.7;300;0.8
A7;417;202 bp to 227 bp;1.1046;11.1;8.5019;214;3.43;300;0.8
A7;417;227 bp to 277 bp;1.1074;11.2;7.3406;248;5.82;300;0.8
A7;417;277 bp to 327 bp;0.4822;4.9;2.6547;299;4.89;300;0.8
