Range	Sample_ID	Sediment_ID	Buffer	Method	Percent	Absolute
202-227 bp	414	BS_SAP	Direito	Mag_Beads	0.2249454362303430000	8.0391
227-277 bp	414	BS_SAP	Direito	Mag_Beads	0.2176590743746150000	7.7787
277-327 bp	414	BS_SAP	Direito	Mag_Beads	0.0949745369074934000	3.3942
327-427 bp	414	BS_SAP	Direito	Mag_Beads	0.0823717051877553000	2.9438
157-177 bp	415	BS_LAC	Direito	Mag_Beads	0.0881187904500097000	0.8142
177-202 bp	415	BS_LAC	Direito	Mag_Beads	0.2757418991753070000	2.5478
202-227 bp	415	BS_LAC	Direito	Mag_Beads	0.2503625619602160000	2.3133
227-277 bp	415	BS_LAC	Direito	Mag_Beads	0.2432303729517950000	2.2474
277-327 bp	415	BS_LAC	Direito	Mag_Beads	0.0857053182969328000	0.7919
327-427 bp	415	BS_LAC	Direito	Mag_Beads	0.0568410571657395000	0.5252
157-177 bp	416	SG_CLY	Direito	Mag_Beads	0.0575673166202414000	1.0974
177-202 bp	416	SG_CLY	Direito	Mag_Beads	0.0969684570553274000	1.8485
202-227 bp	416	SG_CLY	Direito	Mag_Beads	0.1238426472362550000	2.3608
227-277 bp	416	SG_CLY	Direito	Mag_Beads	0.2615761505332350000	4.9864
277-327 bp	416	SG_CLY	Direito	Mag_Beads	0.1989571366371330000	3.7927
327-427 bp	416	SG_CLY	Direito	Mag_Beads	0.2610882919178090000	4.9771
157-177 bp	417	N_PAC	Direito	Precipitation	0.1744836389796560000	7.2034
177-202 bp	417	N_PAC	Direito	Precipitation	0.3310984131905500000	13.6691
202-227 bp	417	N_PAC	Direito	Precipitation	0.2059364258879330000	8.5019
227-277 bp	417	N_PAC	Direito	Precipitation	0.1778069523133600000	7.3406
277-327 bp	417	N_PAC	Direito	Precipitation	0.0643032063191398000	2.6547
327-427 bp	417	N_PAC	Direito	Precipitation	0.0463713633093612000	1.9144
157-177 bp	418	MID_PAC	Direito	Precipitation	0.4235930188215250000	11.8853
177-202 bp	418	MID_PAC	Direito	Precipitation	0.4175270775492460000	11.7151
202-227 bp	418	MID_PAC	Direito	Precipitation	0.0842887844238603000	2.365
227-277 bp	418	MID_PAC	Direito	Precipitation	0.0452985391132036000	1.271
277-327 bp	418	MID_PAC	Direito	Precipitation	0.0158313226389339000	0.4442
327-427 bp	418	MID_PAC	Direito	Precipitation	0.0134612574532313000	0.3777
157-177 bp	419	BS_SAP	Direito	Precipitation	0.1594516594516590000	0.0884
177-202 bp	419	BS_SAP	Direito	Precipitation	0.1628787878787880000	0.0903
202-227 bp	419	BS_SAP	Direito	Precipitation	0.1296897546897550000	0.0719
227-277 bp	419	BS_SAP	Direito	Precipitation	0.2326839826839830000	0.129
277-327 bp	419	BS_SAP	Direito	Precipitation	0.1453823953823950000	0.0806
327-427 bp	419	BS_SAP	Direito	Precipitation	0.1699134199134200000	0.0942
157-177 bp	420	BS_LAC	Direito	Precipitation	0.3756468305304010000	0.2323
177-202 bp	420	BS_LAC	Direito	Precipitation	0.3523609314359640000	0.2179
202-227 bp	420	BS_LAC	Direito	Precipitation	0.1769081500646830000	0.1094
227-277 bp	420	BS_LAC	Direito	Precipitation	0.0819857697283312000	0.0507
277-327 bp	420	BS_LAC	Direito	Precipitation	0.0006468305304010350	0.0004
327-427 bp	420	BS_LAC	Direito	Precipitation	0.0124514877102199000	0.0077
157-177 bp	421	SG_CLY	Direito	Precipitation	0.0938708454442057000	0.3714
177-202 bp	421	SG_CLY	Direito	Precipitation	0.1326677619107800000	0.5249
202-227 bp	421	SG_CLY	Direito	Precipitation	0.1451788196638440000	0.5744
227-277 bp	421	SG_CLY	Direito	Precipitation	0.3117654492607100000	1.2335
277-327 bp	421	SG_CLY	Direito	Precipitation	0.2046758498673070000	0.8098
327-427 bp	421	SG_CLY	Direito	Precipitation	0.1118412738531530000	0.4425
