Range	Sample_ID	Sediment_ID	Buffer	Method	Value
327-427 bp	415	BS_LAC	Direito	Mag_Beads	0.05684105716573950000
157-177 bp	416	SG_CLY	Direito	Mag_Beads	0.05756731662024140000
177-202 bp	416	SG_CLY	Direito	Mag_Beads	0.09696845705532740000
202-227 bp	416	SG_CLY	Direito	Mag_Beads	0.12384264723625500000
227-277 bp	416	SG_CLY	Direito	Mag_Beads	0.26157615053323500000
277-327 bp	416	SG_CLY	Direito	Mag_Beads	0.19895713663713300000
327-427 bp	416	SG_CLY	Direito	Mag_Beads	0.26108829191780900000
157-177 bp	417	N_PAC	Direito	Precipitation	0.17448363897965600000
177-202 bp	417	N_PAC	Direito	Precipitation	0.33109841319055000000
202-227 bp	417	N_PAC	Direito	Precipitation	0.20593642588793300000
227-277 bp	417	N_PAC	Direito	Precipitation	0.17780695231336000000
277-327 bp	417	N_PAC	Direito	Precipitation	0.06430320631913980000
327-427 bp	417	N_PAC	Direito	Precipitation	0.04637136330936120000
157-177 bp	418	MID_PAC	Direito	Precipitation	0.42359301882152500000
177-202 bp	418	MID_PAC	Direito	Precipitation	0.41752707754924600000
202-227 bp	418	MID_PAC	Direito	Precipitation	0.08428878442386030000
227-277 bp	418	MID_PAC	Direito	Precipitation	0.04529853911320360000
277-327 bp	418	MID_PAC	Direito	Precipitation	0.01583132263893390000
327-427 bp	418	MID_PAC	Direito	Precipitation	0.01346125745323130000
157-177 bp	419	BS_SAP	Direito	Precipitation	0.15945165945165900000
177-202 bp	419	BS_SAP	Direito	Precipitation	0.16287878787878800000
202-227 bp	419	BS_SAP	Direito	Precipitation	0.12968975468975500000
227-277 bp	419	BS_SAP	Direito	Precipitation	0.23268398268398300000
277-327 bp	419	BS_SAP	Direito	Precipitation	0.14538239538239500000
327-427 bp	419	BS_SAP	Direito	Precipitation	0.16991341991342000000
157-177 bp	420	BS_LAC	Direito	Precipitation	0.37564683053040100000
177-202 bp	420	BS_LAC	Direito	Precipitation	0.35236093143596400000
202-227 bp	420	BS_LAC	Direito	Precipitation	0.17690815006468300000
227-277 bp	420	BS_LAC	Direito	Precipitation	0.08198576972833120000
277-327 bp	420	BS_LAC	Direito	Precipitation	0.00064683053040103500
327-427 bp	420	BS_LAC	Direito	Precipitation	0.01245148771021990000
157-177 bp	421	SG_CLY	Direito	Precipitation	0.09387084544420570000
177-202 bp	421	SG_CLY	Direito	Precipitation	0.13266776191078000000
202-227 bp	421	SG_CLY	Direito	Precipitation	0.14517881966384400000
227-277 bp	421	SG_CLY	Direito	Precipitation	0.31176544926071000000
277-327 bp	421	SG_CLY	Direito	Precipitation	0.20467584986730700000
327-427 bp	421	SG_CLY	Direito	Precipitation	0.11184127385315300000
